Date,Versus,Ground,How Dismissed,Runs,B/F,S/R,Aggr,Avg
23/12/2004,Bangladesh,MA Aziz Stadium,run out,0,1,0,0.0,0.0
26/12/2004,Bangladesh,Bangabandhu National Stadium,c Habibul Bashar b Mashrafe Mortaza,12,11,109.09,12.0,6.0
27/12/2004,Bangladesh,Bangabandhu National Stadium,not out,7,2,350,19.0,9.5
2005-02-04 00:00:00,Pakistan,Nehru Stadium (Kochi),c Naved-ul-Hasan b Arshad Khan,3,7,42.86,22.0,7.33
2005-05-04 00:00:00,Pakistan,Dr YS Rajasekhara Reddy Cricket Stadium,c Shoaib Malik b Mohammad Hafeez,148,123,120.33,170.0,42.5
2005-09-04 00:00:00,Pakistan,Keenan Stadium,c †Kamran Akmal b Naved-ul-Hasan,28,24,116.67,198.0,39.6
2005-12-04 00:00:00,Pakistan,Sardar Patel Stadium,c †Kamran Akmal b Shoaib Malik,47,64,73.44,245.0,40.83
15/04/2005,Pakistan,Green Park,c Younis Khan b Naved-ul-Hasan,11,16,68.75,256.0,36.57
17/04/2005,Pakistan,Arun Jaitley Stadium,c Shahid Afridi b Arshad Khan,24,38,63.16,280.0,35.0
30/07/2005,Sri Lanka,Rangiri Dambulla International Stadium,b L H D Dilhara,2,7,28.57,282.0,31.33
31/07/2005,West Indies,Rangiri Dambulla International Stadium,not out,15,11,136.36,297.0,33.0
2005-03-08 00:00:00,Sri Lanka,Rangiri Dambulla International Stadium,c & b T M Dilshan,20,27,74.07,317.0,31.7
2005-07-08 00:00:00,West Indies,R Premadasa Stadium,not out,28,13,215.38,345.0,34.5
2005-09-08 00:00:00,Sri Lanka,R Premadasa Stadium,lbw b U D U Chandana,7,11,63.64,352.0,32.0
26/08/2005,New Zealand,Queens Sports Club,c †B B McCullum b A R Adams,2,5,40,354.0,29.5
29/08/2005,Zimbabwe,Harare Sports Club,c N B Mahwire b A J Ireland,56,46,121.74,410.0,31.54
2005-02-09 00:00:00,New Zealand,Harare Sports Club,not out,37,27,137.04,447.0,34.38
2005-04-09 00:00:00,Zimbabwe,Harare Sports Club,not out,67,63,106.35,514.0,39.54
2005-06-09 00:00:00,New Zealand,Harare Sports Club,lbw b S B Styris,11,16,68.75,525.0,37.5
25/10/2005,Sri Lanka,Vidarbha Cricket Association Ground,c D P M D Jayawardene b C R D Fernando,38,28,135.71,563.0,37.53
28/10/2005,Sri Lanka,Punjab Cricket Association IS Bindra Stadium,did not bat,-,-,-,563.0,37.53
31/10/2005,Sri Lanka,Sawai Mansingh Stadium,not out,183,145,126.21,746.0,49.73
2005-03-11 00:00:00,Sri Lanka,Nehru Stadium (Pune),not out,45,43,104.65,791.0,52.73
2005-06-11 00:00:00,Sri Lanka,Sardar Patel Stadium,lbw b D N T Zoysa,0,1,0,791.0,49.44
2005-09-11 00:00:00,Sri Lanka,Madhavrao Scindia Cricket Ground,did not bat,-,-,-,791.0,49.44
2005-12-11 00:00:00,Sri Lanka,Reliance Stadium,c sub b U D U Chandana,80,73,109.59,871.0,51.24
16/11/2005,South Africa,Rajiv Gandhi International Stadium,run out,17,28,60.71,888.0,49.33
19/11/2005,South Africa,M Chinnaswamy Stadium,did not bat,-,-,-,888.0,49.33
25/11/2005,South Africa,Eden Gardens,c J Botha b A J Hall,14,26,53.85,902.0,47.47
28/11/2005,South Africa,Wankhede Stadium,c †M V Boucher b C K Langeveldt,12,26,46.15,914.0,45.7
2006-06-02 00:00:00,Pakistan,Arbab Niaz Stadium,c Shoaib Malik b Mohammad Asif,68,53,128.3,982.0,46.76
2006-11-02 00:00:00,Pakistan,Rawalpindi Cricket Stadium,did not bat,-,-,-,982.0,46.76
13/02/2006,Pakistan,Gaddafi Stadium,not out,72,46,156.52,1054.0,50.19
16/02/2006,Pakistan,Multan Cricket Stadium,not out,2,5,40,1056.0,50.29
19/02/2006,Pakistan,National Stadium (Karachi),not out,77,56,137.5,1133.0,53.95
28/03/2006,England,Arun Jaitley Stadium,c P D Collingwood b L E Plunkett,20,28,71.43,1153.0,52.41
31/03/2006,England,Nahar Singh Stadium,b A Flintoff,38,55,69.09,1191.0,51.78
2006-03-04 00:00:00,England,Nehru Stadium (Margao),not out,13,6,216.67,1204.0,52.35
2006-06-04 00:00:00,England,Nehru Stadium (Kochi),not out,10,13,76.92,1214.0,52.78
2006-12-04 00:00:00,England,Keenan Stadium,c V S Solanki b S I Mahmood,96,106,90.57,1310.0,54.58
18/04/2006,Pakistan,Sheikh Zayed Stadium,b Shoaib Malik,3,10,30,1313.0,52.52
19/04/2006,Pakistan,Sheikh Zayed Stadium,b Naved-ul-Hasan,59,72,81.94,1372.0,52.77
18/05/2006,West Indies,Sabina Park,c R S Morton b D J J Bravo,18,11,163.64,1390.0,51.48
20/05/2006,West Indies,Sabina Park,b J E Taylor,2,7,28.57,1392.0,49.71
23/05/2006,West Indies,Warner Park,run out,15,26,57.69,1407.0,48.52
26/05/2006,West Indies,Queen's Park Oval,not out,46,58,79.31,1453.0,50.1
28/05/2006,West Indies,Queen's Park Oval,b W W Hinds,14,19,73.68,1467.0,48.9
18/08/2006,Sri Lanka,Sinhalese Sports Club Ground,did not bat,-,-,-,1467.0,48.9
14/09/2006,West Indies,Kinrara Academy Oval,b J E Taylor,2,10,20,1469.0,47.39
16/09/2006,Australia,Kinrara Academy Oval,did not bat,-,-,-,1469.0,47.39
20/09/2006,West Indies,Kinrara Academy Oval,b C D Collymore,18,13,138.46,1487.0,46.47
22/09/2006,Australia,Kinrara Academy Oval,c D R Martyn b B Lee,23,34,67.65,1510.0,45.76
15/10/2006,England,Sawai Mansingh Stadium,c P D Collingwood b J W M Dalrymple,7,22,31.82,1517.0,44.62
26/10/2006,West Indies,Sardar Patel Stadium,run out,51,65,78.46,1568.0,44.8
29/10/2006,Australia,Punjab Cricket Association IS Bindra Stadium,lbw b N W Bracken,28,23,121.74,1596.0,44.33
22/11/2006,South Africa,Kingsmead,c †M V Boucher b A Nel,14,27,51.85,1610.0,43.51
26/11/2006,South Africa,Newlands,c L L Bosman b J H Kallis,55,48,114.58,1665.0,43.82
29/11/2006,South Africa,St George's Park,c sub b A Nel,26,21,123.81,1691.0,43.36
2006-03-12 00:00:00,South Africa,SuperSport Park,c A Nel b M Ntini,44,49,89.8,1735.0,43.38
21/01/2007,West Indies,Vidarbha Cricket Association Ground,not out,62,42,147.62,1797.0,44.93
24/01/2007,West Indies,Barabati Stadium,c & b D R Smith,6,19,31.58,1803.0,43.98
31/01/2007,West Indies,Reliance Stadium,not out,40,20,200,1843.0,44.95
2007-08-02 00:00:00,Sri Lanka,Eden Gardens,did not bat,-,-,-,1843.0,44.95
2007-11-02 00:00:00,Sri Lanka,Madhavrao Scindia Cricket Ground,c M F Maharoof b S T Jayasuriya,48,68,70.59,1891.0,45.02
14/02/2007,Sri Lanka,Nehru Stadium (Margao),not out,67,74,90.54,1958.0,46.62
17/02/2007,Sri Lanka,Dr YS Rajasekhara Reddy Cricket Stadium,did not bat,-,-,-,1958.0,46.62
17/03/2007,Bangladesh,Queen's Park Oval,c Aftab Ahmed b Mohammad Rafique,0,3,0,1958.0,45.53
19/03/2007,Bermuda,Queen's Park Oval,c J J Tucker b D C Borden,29,25,116,1987.0,45.16
23/03/2007,Sri Lanka,Queen's Park Oval,lbw b M Muralitharan,0,1,0,1987.0,44.16
2007-10-05 00:00:00,Bangladesh,Shere Bangla National Stadium,not out,91,106,85.85,2078.0,46.18
2007-12-05 00:00:00,Bangladesh,Shere Bangla National Stadium,c †Mushfiqur Rahim b Mohammad Rafique,36,54,66.67,2114.0,45.96
2007-06-06 00:00:00,ACA Africa XI,M Chinnaswamy Stadium,run out,2,4,50,2116.0,45.02
2007-09-06 00:00:00,ACA Africa XI,MA Chidambaram Stadium,b J A Morkel,33,38,86.84,2149.0,44.77
2007-10-06 00:00:00,ACA Africa XI,MA Chidambaram Stadium,not out,139,97,143.3,2288.0,47.67
29/06/2007,South Africa,Civil Service Cricket Club,b M Ntini,0,4,0,2288.0,46.69
2007-01-07 00:00:00,South Africa,Civil Service Cricket Club,not out,14,11,127.27,2302.0,46.98
16/08/2007,Scotland,Titwood,did not bat,-,-,-,2302.0,46.98
21/08/2007,England,The Rose Bowl,c †M J Prior b A Flintoff,19,60,31.67,2321.0,46.42
24/08/2007,England,County Ground (Bristol),c C T Tremlett b J M Anderson,21,18,116.67,2342.0,45.92
27/08/2007,England,Edgbaston,c P D Collingwood b J M Anderson,13,20,65,2355.0,45.29
30/08/2007,England,Old Trafford,b M S Panesar,13,18,72.22,2368.0,44.68
2007-02-09 00:00:00,England,Headingley,c †M J Prior b J M Anderson,24,17,141.18,2392.0,44.3
2007-05-09 00:00:00,England,Kennington Oval,b S C J Broad,35,37,94.59,2427.0,44.13
2007-08-09 00:00:00,England,Lord's,c J M Anderson b A Flintoff,50,72,69.44,2477.0,44.23
29/09/2007,Australia,M Chinnaswamy Stadium,did not bat,-,-,-,2477.0,44.23
2007-02-10 00:00:00,Australia,Nehru Stadium (Kochi),c B J Hodge b G B Hogg,58,88,65.91,2535.0,44.47
2007-05-10 00:00:00,Australia,Rajiv Gandhi International Stadium,c †A C Gilchrist b B Lee,33,37,89.19,2568.0,44.28
2007-08-10 00:00:00,Australia,Sector 16 Stadium,not out,50,35,142.86,2618.0,45.14
2007-11-10 00:00:00,Australia,Reliance Stadium,c †A C Gilchrist b M G Johnson,4,7,57.14,2622.0,44.44
14/10/2007,Australia,Vidarbha Cricket Association Ground,c R T Ponting b M G Johnson,26,29,89.66,2648.0,44.13
17/10/2007,Australia,Wankhede Stadium,c †A C Gilchrist b N W Bracken,5,11,45.45,2653.0,43.49
2007-05-11 00:00:00,Pakistan,Nehru Stadium (Guwahati),c †Kamran Akmal b Shoaib Akhtar,63,77,81.82,2716.0,43.81
2007-08-11 00:00:00,Pakistan,Punjab Cricket Association IS Bindra Stadium,c †Kamran Akmal b Shoaib Akhtar,4,10,40,2720.0,43.17
2007-11-11 00:00:00,Pakistan,Green Park,b Shoaib Akhtar,49,52,94.23,2769.0,43.27
15/11/2007,Pakistan,Captain Roop Singh Stadium,not out,45,45,100,2814.0,43.97
18/11/2007,Pakistan,Sawai Mansingh Stadium,c Imran Nazir b Shoaib Malik,24,32,75,2838.0,43.66
2008-03-02 00:00:00,Australia,Brisbane Cricket Ground,c R T Ponting b B Lee,37,61,60.66,2875.0,43.56
2008-04-02 00:00:00,Sri Lanka,Brisbane Cricket Ground,not out,88,95,92.63,2963.0,44.89
2008-10-02 00:00:00,Australia,Melbourne Cricket Ground,not out,17,54,31.48,2980.0,45.15
