mode_confidence,key_confidence,tempo,energy,tempo_confidence,time_signature,valence,name,echoprint_version,mode,explicit,track_number,code_version,speechiness,duration,popularity,artist_names,start_of_fade_out,liveness,acousticness,instrumentalness,time_signature_confidence,key,danceability,end_of_fade_in,num_samples,loudness
0.627,0.853,128.235,0.516,0.729,4,0.823,For You Blue - 1969 Glyn Johns Mix,4.12,1,0,7,3.15,0.0991,174.32,42,The Beatles,163.05634,0.416,0.696,0.0425,0.876,2,0.734,0.23746,3843756,-13.881
0.679,0.533,137.885,0.675,0.163,4,0.267,Ten More Days,4.12,1,0,4,3.15,0.0306,245.81332,53,Avicii,234.2255,0.0972,0.0225,1.33e-05,1.0,6,0.593,0.27315,5420184,-3.843
0.139,0.0,106.931,0.543,0.732,4,0.253,Heartbreak (feat. Ben Burgess),4.12,1,0,12,3.15,0.0352,137.94395,26,Diplo,132.37115,0.15,0.0504,0.0,1.0,9,0.701,0.12902,3041664,-7.395
0.591,0.448,85.868,0.139,0.156,3,0.323,Crazy For You,4.12,1,0,5,3.15,0.0507,208.04,58,Adele,200.71909,0.105,0.91,0.0,0.2,7,0.707,0.19741,4587282,-12.3
0.408,0.394,132.094,0.63,0.336,4,0.883,"Clarabella - Live At The BBC For ""Pop Go The Beatles"" / 16th July, 1963",4.12,1,0,20,3.15,0.0729,159.94667,29,The Beatles,155.1151,0.597,0.61,0.0,0.987,7,0.521,0.08721,3526824,-11.097
0.87,1.0,78.262,0.286,0.35,4,0.0666,It'll Be Okay,4.12,1,0,1,3.15,0.033,222.8,89,Shawn Mendes,212.18974,0.0912,0.616,0.000146,0.794,7,0.398,0.39492,4912740,-11.881
0.583,0.528,77.342,0.564,0.032,5,0.55,Look At Her Now,4.12,0,0,3,3.15,0.252,162.59566,29,Selena Gomez,162.59564,0.359,0.114,0.0273,0.634,10,0.753,0.41211,3585234,-7.908
0.561,0.541,175.992,0.893,0.127,4,0.588,Dionysus - Japanese ver.,4.12,1,0,5,3.15,0.148,248.90668,53,BTS,241.53397,0.358,0.0218,0.0,0.929,7,0.455,0.36571,5488392,-3.712
0.448,0.412,88.932,0.616,0.198,4,0.235,PA Nights,4.12,0,1,4,3.15,0.231,184.67506,55,Mac Miller,179.39156,0.101,0.409,0.0,0.958,0,0.517,0.22059,4072085,-6.848
0.664,0.784,96.122,0.501,0.091,4,0.807,You're No One 'Til Someone Lets You Down,4.12,1,0,9,3.15,0.0296,165.0,48,John Mayer,153.49551,0.209,0.306,0.000139,1.0,0,0.578,0.20884,3638250,-12.01
0.561,0.434,140.164,0.224,0.4,4,0.594,When I'm Sixty Four,4.12,1,0,13,3.15,0.056,159.09332,47,The Beatles,154.9932,0.13,0.683,0.0,1.0,1,0.717,0.0,3508008,-10.832
0.319,0.155,125.018,0.718,0.289,4,0.0798,Hope There's Someone,4.12,0,0,9,3.15,0.0454,381.28,16,Avicii,368.5123,0.08,0.0131,0.00422,0.952,6,0.403,0.1571,8407224,-7.237
0.74,0.715,76.04,0.296,0.086,4,0.463,Life Is Worth Living,4.12,1,0,10,3.15,0.0427,234.78667,44,Justin Bieber,224.38603,0.108,0.907,0.0,0.565,10,0.558,0.16263,5177046,-9.18
0.587,0.378,176.773,0.576,0.182,4,0.764,Girl Don't Take Your Love From Me,4.12,0,0,6,3.15,0.0269,227.73334,28,Michael Jackson,220.2935,0.0763,0.213,0.0,0.813,2,0.481,0.28789,5021520,-8.522
0.343,0.017,169.847,0.928,0.186,4,0.601,둘! 셋! (그래도 좋은 날이 더 많기를),4.12,1,0,14,3.15,0.207,272.5373,27,BTS,259.80228,0.1,0.0257,0.0,1.0,7,0.442,0.0,6009447,-4.096
0.47,0.555,139.908,0.808,0.813,4,0.65,The Story Of Us,4.12,1,0,38,3.15,0.0398,267.65332,38,Taylor Swift,259.32626,0.0587,0.00556,0.000304,0.841,4,0.547,0.18939,5901756,-3.63
0.692,0.651,120.032,0.713,0.845,4,0.879,Maps,4.12,0,0,1,3.15,0.0303,189.96,27,Maroon 5,184.88309,0.059,0.0205,0.0,0.984,1,0.742,0.19388,4188618,-5.522
0.375,0.407,126.044,0.685,0.281,4,0.328,Pretty,4.12,0,1,9,3.15,0.0397,375.4,42,The Weeknd,358.5335,0.315,0.0355,3.43e-05,0.721,11,0.571,0.12771,8277570,-6.829
0.271,0.162,142.428,0.985,0.885,4,0.155,War - Instrumental,4.12,0,0,15,3.15,0.17,125.08,25,Linkin Park,122.34594,0.526,0.000313,0.873,1.0,4,0.372,0.26707,2758014,-3.342
0.518,0.434,135.155,0.839,0.866,4,0.75,Old Yellow Bricks,4.12,1,0,11,3.15,0.0695,187.13333,61,Arctic Monkeys,182.47981,0.0808,0.000185,4.65e-06,1.0,0,0.663,2.06658,4126290,-4.453
0.578,0.343,141.382,0.636,0.548,4,0.177,42,4.12,0,0,4,3.15,0.0344,237.4,15,Coldplay,223.45143,0.102,0.221,0.00281,0.996,5,0.309,0.12612,5234670,-7.202
0.54,0.635,143.996,0.892,0.402,4,0.159,One Hot Minute,4.12,1,0,10,3.15,0.0503,383.76,41,Red Hot Chili Peppers,380.2732,0.361,0.00226,3.1e-05,0.983,9,0.247,0.0,8461908,-4.65
0.433,0.308,104.951,0.359,0.416,4,0.42,Liquor,4.12,0,0,5,3.15,0.0439,224.90668,30,Chris Brown,218.22694,0.127,0.0241,0.0,0.989,5,0.678,0.45932,4959192,-8.589
0.424,0.252,123.909,0.705,0.574,4,0.36,Don't Forget Me,4.12,0,0,5,3.15,0.0669,277.16,65,Red Hot Chili Peppers,274.35538,0.104,0.00399,9.11e-06,0.915,9,0.499,0.15619,6111378,-5.596
0.435,0.235,93.161,0.562,0.675,4,0.769,Charles Brown,4.12,0,1,15,3.15,0.244,289.37332,45,G-Eazy,285.35,0.115,0.431,0.0,0.992,5,0.472,0.0,6380682,-7.05
0.452,0.41,109.023,0.814,0.357,4,0.318,Something In The Way You Move,4.12,0,0,3,3.15,0.0492,227.42345,6,Ellie Goulding,219.60272,0.114,0.0401,0.0,0.815,1,0.658,5.92689,5014687,-6.156
0.385,0.204,124.995,0.581,0.787,4,0.252,Dear Boy,4.12,1,0,5,3.15,0.113,479.33334,44,Avicii,474.1863,0.3,0.000274,0.0987,0.998,9,0.686,0.15084,10569300,-5.911
0.487,0.538,94.989,0.694,0.545,4,0.687,Good Life,4.12,1,1,6,3.15,0.051,253.30667,44,OneRepublic,239.4732,0.121,0.0785,0.0,1.0,6,0.636,0.13968,5585412,-7.796
